Chromosome	Start	End	Strand	Gene	Transcription_Start_Site	Transcript_type
chr21	3277969	3282619	-	EFHD2	3277969	protein_coding
chr21	3284151	3307376	-	FHAD1	3284151	protein_coding
chr21	3369385	3383340	-	LACTBL1	3369385	protein_coding
chr21	3376958	3377031	+	TRNAN-GUU	3376958	tRNA
chr21	3458852	3599913	-	EPHB2	3458852	
chr21	3619001	3631265	-	C1QB	3619001	
chr21	3632082	3634211	-	C1QC	3632082	protein_coding
chr21	3635214	3637286	-	C1QA	3635214	protein_coding
chr21	3686236	3740486	-	EPHA8	3686236	
chr21	3816760	3817528	-	LOC116184393	3816760	lncRNA
chr21	3821617	3823314	-	ZBTB40	3821617	protein_coding
chr21	3987314	4002318	+	WNT4	3987314	protein_coding
chr21	4025698	4059759	-	CDC42	4025698	
chr21	4061300	4067525	-	C21H1orf50	4061300	protein_coding
chr21	4067679	4075540	+	P3H1	4067679	protein_coding
chr21	4076844	4080868	+	CLDN19	4076844	protein_coding
chr21	4090843	4100219	-	YBX1	4090843	protein_coding
chr21	4101849	4112957	-	PPIH	4101849	protein_coding
chr21	4112845	4114550	+	LOC110472237	4112845	lncRNA
chr21	4121423	4122873	-	HIPK4	4121423	protein_coding
chr21	4160564	4169971	-	SCNN1D	4160564	protein_coding
chr21	4177640	4184501	+	UBE2J2	4177640	protein_coding
chr21	4189439	4196398	+	C1QTNF12	4189439	protein_coding
chr21	4206430	4209661	-	B3GALT6	4206430	protein_coding
chr21	4210338	4222467	+	SDF4	4210338	protein_coding
chr21	4223914	4228025	+	TNFRSF4	4223914	protein_coding
chr21	4231539	4244936	+	TNFRSF18	4231539	protein_coding
chr21	4255764	4261384	-	C21H1orf159	4255764	
chr21	4280418	4281374	+	RNF223	4280418	protein_coding
chr21	4282698	4371803	-	AGRN	4282698	protein_coding
chr21	4372099	4373592	+	LOC116184405	4372099	lncRNA
chr21	4408099	4410270	+	HES4	4408099	protein_coding
chr21	4458585	4464463	+	PERM1	4458585	protein_coding
chr21	4469891	4487763	-	PLEKHN1	4469891	protein_coding
chr21	4492531	4512848	-	KLHL17	4492531	protein_coding
chr21	4514502	4539451	+	NOC2L	4514502	protein_coding
chr21	4538929	4618167	-	SAMD11	4538929	protein_coding
chr21	4677466	4847888	-	RERE	4677466	protein_coding
chr21	4838494	4848230	+	LOC110474418	4838494	protein_coding
chr21	4858233	4870448	-	ENO1	4858233	protein_coding
chr21	4870681	4889829	+	CA6	4870681	protein_coding
chr21	4890485	4900277	-	LOC110474389	4890485	protein_coding
chr21	4917524	4925993	-	GPR157	4917524	protein_coding
chr21	4934474	4935834	-	LOC116184402	4934474	lncRNA
chr21	4945564	4964590	+	H6PD	4945564	protein_coding
chr21	4967622	4969362	-	LOC116184398	4967622	lncRNA
chr21	4968748	4992705	+	SPSB1	4968748	protein_coding
chr21	5014598	5027213	+	SLC25A33	5014598	protein_coding
chr21	5032145	5063602	+	TMEM201	5032145	protein_coding
chr21	5081846	5105539	+	PIK3CD	5081846	protein_coding
chr21	5105678	5135354	-	CLSTN1	5105678	protein_coding
chr21	5143087	5170743	-	CTNNBIP1	5143087	
chr21	5173863	5182682	-	LZIC	5173863	protein_coding
chr21	5182089	5188001	+	NMNAT1	5182089	protein_coding
chr21	5188604	5190323	+	RBP7	5188604	protein_coding
chr21	5193298	5227537	+	UBE4B	5193298	protein_coding
chr21	5233459	5240370	+	LOC110470348	5233459	protein_coding
chr21	5242976	5321206	+	KIF1B	5242976	protein_coding
chr21	5321913	5331411	+	PGD	5321913	protein_coding
chr21	5332204	5334814	+	CENPS	5332204	protein_coding
chr21	5335315	5339681	-	DFFA	5335315	
chr21	5339872	5408454	+	PEX14	5339872	protein_coding
chr21	5419473	5610946	-	CASZ1	5419473	protein_coding
chr21	5701694	5708404	+	TARDBP	5701694	protein_coding
chr21	5701819	5715937	-	MASP2	5701819	
chr21	5708906	5717064	+	LOC116184404	5708906	lncRNA
chr21	5723702	5726436	-	CORT	5723702	protein_coding
chr21	5731219	5759139	-	ACAP3	5731219	protein_coding
chr21	5781502	5807610	+	PUSL1	5781502	protein_coding
chr21	5807884	5821913	-	INTS11	5807884	protein_coding
chr21	5822054	5825896	+	CPTP	5822054	protein_coding
chr21	5834771	5840563	+	TAS1R3	5834771	
chr21	5840045	5898906	-	DVL1	5840045	
chr21	5905218	5922816	-	MXRA8	5905218	protein_coding
chr21	5925223	5937615	-	AURKAIP1	5925223	
chr21	5939124	5945752	-	LOC110470339	5939124	protein_coding
chr21	5951654	5962764	-	CCNL2	5951654	
chr21	5964198	5966260	-	MRPL20	5964198	protein_coding
chr21	5970081	5976143	+	TMEM88B	5970081	
chr21	5974095	5975309	-	LOC110470354	5974095	lncRNA
chr21	5990081	6011120	+	VWA1	5990081	protein_coding
chr21	6012839	6041654	+	ATAD3A	6012839	
chr21	6041247	6062803	-	TMEM240	6041247	
chr21	6067472	6088001	-	SSU72	6067472	protein_coding
chr21	6090231	6091494	+	LOC116184397	6090231	lncRNA
chr21	6091984	6095409	-	FNDC10	6091984	protein_coding
chr21	6096615	6132387	-	LOC110470343	6096615	protein_coding
chr21	6142887	6192663	+	MIB2	6142887	protein_coding
chr21	6199050	6209598	+	MMP23B	6199050	protein_coding
chr21	6209263	6226523	-	LOC110470319	6209263	protein_coding
chr21	6227628	6239132	-	LOC110470320	6227628	protein_coding
chr21	6243326	6252020	+	LOC110470355	6243326	
chr21	6253215	6269309	-	NADK	6253215	protein_coding
chr21	6289790	6325781	-	GNB1	6289790	
chr21	6324969	6329500	+	LOC110470324	6324969	lncRNA
chr21	6341986	6345755	-	TMEM52	6341986	protein_coding
chr21	6350238	6395286	-	CFAP74	6350238	protein_coding
chr21	6394537	6414467	+	GABRD	6394537	
chr21	6418881	6460146	+	PRKCZ	6418881	protein_coding
chr21	6495394	6596820	+	SKI	6495394	
chr21	6707643	6715418	+	RER1	6707643	protein_coding
chr21	6715796	6718844	-	PEX10	6715796	protein_coding
chr21	6751749	6797669	+	PLCH2	6751749	protein_coding
chr21	6799560	6811240	+	LOC110470334	6799560	protein_coding
chr21	6811100	6829490	-	PANK4	6811100	protein_coding
chr21	6829322	6831069	+	LOC110470335	6829322	lncRNA
chr21	6841194	6842232	-	LOC110470346	6841194	protein_coding
chr21	6852059	6853719	+	LOC110470357	6852059	protein_coding
chr21	6859545	6882925	-	MMEL1	6859545	protein_coding
chr21	6895947	6908766	-	TTC34	6895947	protein_coding
chr21	7071517	7072746	+	LOC116184392	7071517	lncRNA
chr21	7077499	7264999	+	LOC110472527	7077499	protein_coding
chr21	7331414	7364869	+	LOC110472547	7331414	protein_coding
chr21	7370831	7380781	+	LOC110472528	7370831	
chr21	7382784	7396801	+	ARHGEF16	7382784	protein_coding
chr21	7396996	7488220	-	MEGF6	7396996	
chr21	7491653	7495544	+	TPRG1L	7491653	protein_coding
chr21	7495938	7512187	-	WRAP73	7495938	protein_coding
chr21	7514670	7542046	+	TP73	7514670	protein_coding
chr21	7547470	7550131	+	CCDC27	7547470	protein_coding
chr21	7550346	7555192	-	LRRC47	7550346	protein_coding
chr21	7556124	7571480	-	CEP104	7556124	
chr21	7570557	7574835	+	DFFB	7570557	protein_coding
chr21	7575596	7578662	-	C21H1orf174	7575596	protein_coding
chr21	7679258	7720396	+	AJAP1	7679258	
chr21	7803688	7823231	-	NPHP4	7803688	protein_coding
chr21	7823847	7845512	+	KCNAB2	7823847	
chr21	7835788	7868485	-	CHD5	7835788	protein_coding
chr21	7868668	7871139	-	RPL22	7868668	protein_coding
chr21	7871900	7877240	+	RNF207	7871900	protein_coding
chr21	7877644	7882029	-	ICMT	7877644	protein_coding
chr21	7882662	7888708	-	ACOT7	7882662	protein_coding
chr21	7890041	7901760	+	ESPN	7890041	protein_coding
chr21	7902002	7904080	-	TNFRSF25	7902002	protein_coding
chr21	7906075	7913048	-	PLEKHG5	7906075	protein_coding
chr21	7913048	7917039	-	LOC116184399	7913048	lncRNA
chr21	7919467	7924419	-	NOL9	7919467	protein_coding
chr21	7924515	7928740	+	TAS1R1	7924515	protein_coding
chr21	7928889	7933951	+	ZBTB48	7928889	protein_coding
chr21	7933869	7940111	-	KLHL21	7933869	protein_coding
chr21	7940719	7945496	+	PHF13	7940719	protein_coding
chr21	7946652	7966334	-	DNAJC11	7946652	protein_coding
chr21	7979732	8206136	+	CAMTA1	7979732	
chr21	7999343	8003566	+	LOC110472507	7999343	lncRNA
chr21	8206469	8207774	-	LOC116184403	8206469	lncRNA
chr21	8207829	8212003	+	VAMP3	8207829	protein_coding
chr21	8212195	8234204	+	PER3	8212195	
chr21	8234672	8241998	+	LOC110472532	8234672	lncRNA
chr21	8237507	8241278	-	UTS2	8237507	protein_coding
chr21	8249673	8255076	-	TNFRSF9	8249673	
chr21	8255541	8274107	+	PARK7	8255541	
chr21	8276900	8286613	-	ERRFI1	8276900	protein_coding
chr21	8279350	8285990	+	LOC110472502	8279350	lncRNA
chr21	8286759	8329809	+	LOC110472503	8286759	lncRNA
chr21	8318531	8322622	-	LOC116184396	8318531	lncRNA
chrUn_NW_021818749v1	6	1205	-	LOC110473520	6	protein_coding
chrUn_NW_021819611v1	1569	13323	+	LOC110476307	1569	protein_coding
chrUn_NW_021819909v1	10533	20295	+	LOC110478311	10533	protein_coding
chrUn_NW_021819133v1	14217	18182	+	CNN1	14217	protein_coding
chrUn_NW_021819133v1	18727	19780	-	ELOF1	18727	protein_coding
chrUn_NW_021819133v1	19928	25668	-	ACP5	19928	protein_coding
chrUn_NW_021819133v1	30729	48035	-	NFIX	30729	protein_coding
chrUn_NW_021819133v1	51206	52129	+	GADD45GIP1	51206	protein_coding
chrUn_NW_021819133v1	53560	61507	-	RAD23A	53560	protein_coding
chrUn_NW_021819133v1	61721	65621	-	CALR	61721	protein_coding
chrUn_NW_021819133v1	66764	70647	+	FARSA	66764	protein_coding
chrUn_NW_021819133v1	77946	79092	+	SYCE2	77946	protein_coding
chrUn_NW_021819133v1	79183	83189	-	GCDH	79183	protein_coding
chrUn_NW_021819133v1	83362	98074	-	MAST1	83362	protein_coding
chrUn_NW_021819133v1	98987	111694	-	RNASEH2A	98987	protein_coding
chrUn_NW_021819133v1	114456	123858	+	HOOK2	114456	protein_coding
chrUn_NW_021819133v1	120927	121386	+	LOC110481630	120927	lncRNA
chrUn_NW_021819333v1	2066	4027	+	LOC110484678	2066	protein_coding
chrUn_NW_021819333v1	4674	5947	-	LOC110484679	4674	protein_coding
chrUn_NW_021819788v1	443	3056	-	LOC110469839	443	protein_coding
chrUn_NW_021819159v1	985	23059	-	LOC110482407	985	protein_coding
chrUn_NW_021819159v1	29588	44389	-	LOC110482408	29588	protein_coding
chrUn_NW_021819159v1	63062	114219	-	LOC110482409	63062	protein_coding
chrUn_NW_021819159v1	114563	171478	-	LOC110483044	114563	protein_coding
chrUn_NW_021819159v1	207388	214882	-	LOC110483046	207388	protein_coding
chrUn_NW_021819246v1	1257	18231	-	LOC116184761	1257	
chrUn_NW_021819246v1	15515	15579	-	LOC116184762	15515	snoRNA
chrUn_NW_021819246v1	24116	26652	-	TRIR	24116	protein_coding
chrUn_NW_021819246v1	26855	40291	+	GET3	26855	protein_coding
chrUn_NW_021819533v1	609	4524	+	LOC110468679	609	protein_coding
chrUn_NW_021819669v1	67	3403	+	LOC110469439	67	protein_coding
chrUn_NW_021819496v1	2151	3600	-	LOC110468557	2151	protein_coding
chrUn_NW_021819496v1	4566	5070	+	LOC110468558	4566	protein_coding
chrUn_NW_021819315v1	7	19460	+	LOC110484570	7	protein_coding
chr28	50591	53483	+	LOC110469487	50591	protein_coding
chr28	55706	60235	-	KLHL33	55706	protein_coding
chr28	61771	65147	-	NDUFA11	61771	protein_coding
chr28	89381	147744	-	RANBP3	89381	protein_coding
chr28	176199	201503	+	LOC110469444	176199	protein_coding
chr28	204073	225945	+	LONP1	204073	protein_coding
chr28	226983	228765	-	RPL36	226983	protein_coding
chr28	245348	262219	-	LOC110469504	245348	lncRNA
chr28	273590	275595	+	LOC116184530	273590	lncRNA
chr28	279119	319589	+	LMNB2	279119	protein_coding
chr28	321226	322939	+	TIMM13	321226	protein_coding
chr28	323896	339024	-	TMPRSS9	323896	protein_coding
chr28	328550	341225	+	LOC116184527	328550	lncRNA
chr28	353255	385347	-	SPPL2B	353255	
chr28	385252	391266	+	LSM7	385252	protein_coding
chr28	393015	395985	+	LOC110469449	393015	protein_coding
chr28	418965	459341	-	CERS4	418965	
chr28	491164	493812	+	LOC110469505	491164	protein_coding
chr28	496730	530090	-	MARCHF2	496730	protein_coding
chr28	531348	548100	-	RAB11B	531348	protein_coding
chr28	561946	570583	-	ANGPTL4	561946	protein_coding
chr28	600930	613082	+	KANK3	600930	protein_coding
chr28	614593	615168	-	RPS28	614593	protein_coding
chr28	615172	616553	+	NDUFA7	615172	protein_coding
chr28	617292	621272	+	CD320	617292	protein_coding
chr28	623066	625952	+	LOC110469491	623066	protein_coding
chr28	628619	630947	-	LOC110469508	628619	protein_coding
chr28	642535	644379	-	LOC110469510	642535	protein_coding
chr28	645590	653377	+	PRAM1	645590	protein_coding
chr28	654193	668286	+	LOC110469456	654193	protein_coding
chr28	665013	668790	-	LOC110469457	665013	lncRNA
chr28	680262	728247	-	ELAVL1	680262	protein_coding
chr28	731951	732428	+	LOC116184528	731951	lncRNA
chr28	751615	765915	+	MATK	751615	protein_coding
chr28	766706	768487	+	LOC110469492	766706	protein_coding
chr28	777193	779674	+	RAX2	777193	protein_coding
chr28	782710	789360	-	LOC110469493	782710	protein_coding
chr28	790226	791730	-	MRPL54	790226	protein_coding
chr28	791877	798311	+	APBA3	791877	protein_coding
chr28	798534	809088	-	TJP3	798534	protein_coding
chr28	810212	860760	+	PIP5K1C	810212	
chr28	862583	868422	+	CACTIN	862583	protein_coding
chr28	875550	877235	+	TBXA2R	875550	protein_coding
chr28	877335	880037	-	GIPC3	877335	protein_coding
chr28	880323	887979	-	HMG20B	880323	protein_coding
chr28	890294	902817	+	MFSD12	890294	
chr28	903338	907416	+	LOC110469499	903338	protein_coding
chr28	908585	932781	-	FZR1	908585	protein_coding
chr28	936071	938810	+	LOC110469500	936071	protein_coding
chr28	940256	952947	+	DOHH	940256	
chr28	991595	997803	-	LOC116184525	991595	lncRNA
chr28	952652	1000633	-	NFIC	952652	
chr28	1030105	1065865	+	UNC13A	1030105	
chr28	1076611	1088152	-	MEX3D	1076611	protein_coding
chr28	1094381	1113634	-	MBD3	1094381	protein_coding
chr28	1114495	1122281	-	LOC110469468	1114495	
chr28	1124980	1210089	-	TCF3	1124980	
chr28	1319932	1349564	+	ONECUT3	1319932	protein_coding
chr28	1359990	1388154	-	ATP8B3	1359990	protein_coding
chr28	1395750	1440928	-	REXO1	1395750	
chr28	1450791	1455402	-	ABHD17A	1450791	protein_coding
chr28	1460469	1469977	-	LOC110469472	1460469	protein_coding
chr28	1488375	1504891	+	LOC110469474	1488375	
chr28	1508066	1530983	+	SCAMP4	1508066	
chr28	1533136	1575903	+	CSNK1G2	1533136	
chr28	1576794	1603003	-	BTBD2	1576794	protein_coding
chr28	1609341	1620423	-	MKNK2	1609341	
chr28	1629389	1643812	-	MOB3A	1629389	
chr28	1646743	1689147	-	AP3D1	1646743	protein_coding
chr28	1701743	1783716	+	DOT1L	1701743	
chr28	1782177	1790496	-	PLEKHJ1	1782177	
chr28	1790832	1802015	+	SF3A2	1790832	protein_coding
chr28	1803995	1809158	+	AMH	1803995	
chr28	1808784	1815390	-	LOC110469503	1808784	
chr28	1840416	1842840	-	LOC110469483	1840416	lncRNA
chr28	1844303	1848008	+	OAZ1	1844303	protein_coding
chr28	1858148	1887786	-	LINGO3	1858148	
chr28	2036087	2053612	-	LOC110478014	2036087	protein_coding
chr28	2111373	2173302	+	ADAMTS10	2111373	
chr28	2174482	2190954	+	MYO1F	2174482	protein_coding
chr28	2195654	2203631	+	ZNF414	2195654	protein_coding
chr28	2204950	2213100	-	LOC110478017	2204950	
chr28	2231038	2240952	+	ACER1	2231038	protein_coding
chr28	2254908	2286559	+	MLLT1	2254908	protein_coding
chr28	2287612	2304595	-	ACSBG2	2287612	
chr28	2321821	2398456	+	RFX2	2321821	
chr28	2400969	2404112	+	LOC110478013	2400969	protein_coding
chr28	2405192	2407159	-	IFI30	2405192	protein_coding
chr28	2407760	2427824	-	PIK3R2	2407760	protein_coding
chr28	2429610	2461579	-	MAST3	2429610	protein_coding
chr28	2491905	2496454	-	ARRDC2	2491905	protein_coding
chr28	2505056	2506051	-	LOC110479630	2505056	lncRNA
chr28	2506120	2509731	+	PEX11G	2506120	protein_coding
chr28	2512475	2515714	+	LOC110479627	2512475	protein_coding
chr28	2520598	2551869	-	ARHGEF18	2520598	protein_coding
chr28	2573238	2632159	-	INSR	2573238	
chr28	2639068	2644215	-	USE1	2639068	protein_coding
chr28	2644667	2687902	-	MYO9B	2644667	protein_coding
chr28	2688883	2695974	+	HAUS8	2688883	protein_coding
chr28	2702825	2754788	+	CPAMD8	2702825	protein_coding
chr28	2759429	2761885	-	LOC110479626	2759429	protein_coding
chr28	2766350	2772768	-	LOC110482575	2766350	
chr28	2777260	2792152	-	SIN3B	2777260	protein_coding
chr28	2805475	2811889	-	TMEM38A	2805475	protein_coding
chr28	2812075	2816597	+	SMIM7	2812075	
chr28	2817076	2839502	+	MED26	2817076	
chr28	2834828	2836094	-	LOC110482571	2834828	lncRNA
chr28	2840346	2847922	+	SLC35E1	2840346	protein_coding
chr28	2849024	2856590	+	LOC116184532	2849024	protein_coding
chr28	2859393	2875332	-	LOC110475769	2859393	protein_coding
chr28	2875572	2893701	+	LOC110475767	2875572	protein_coding
chr28	2895210	2898475	-	MICOS13	2895210	protein_coding
chr28	2899133	2904647	+	HSD11B1L	2899133	protein_coding
chr28	2904825	2941930	-	CELF5	2904825	protein_coding
chr28	2943213	2961438	-	NCLN	2943213	
chr28	2963005	2964210	-	S1PR4	2963005	protein_coding
chr28	2967988	2970823	+	LOC110475735	2967988	protein_coding
chr28	2974597	2976938	+	LOC110475783	2974597	protein_coding
chr28	2981374	2995960	-	GNA11	2981374	protein_coding
chr28	3004017	3012949	+	TLE5	3004017	protein_coding
chr28	3016428	3017223	-	LOC116184537	3016428	lncRNA
chr28	3018482	3034352	+	TLE2	3018482	protein_coding
chr28	3034994	3046571	-	LOC110475760	3034994	protein_coding
chr28	3052817	3057139	-	PLPP2	3052817	protein_coding
chr28	3059637	3074615	-	MIER2	3059637	
chr28	3091931	3095867	-	C2CD4C	3091931	
chr28	3097946	3106275	-	SHC2	3097946	
chr28	3107164	3116414	+	LOC110475753	3107164	protein_coding
chr28	3120098	3122188	+	MADCAM1	3120098	protein_coding
chr28	3122840	3124260	+	TPGS1	3122840	protein_coding
chr28	3124803	3129200	+	CDC34	3124803	protein_coding
chr28	3131242	3145064	+	BSG	3131242	protein_coding
chr28	3147566	3158792	+	HCN2	3147566	protein_coding
chr28	3159379	3173908	-	POLRMT	3159379	protein_coding
chr28	3174482	3178094	+	FGF22	3174482	protein_coding
chr28	3179987	3188116	-	RNF126	3179987	protein_coding
chr28	3196296	3203310	+	FSTL3	3196296	protein_coding
chr28	3206285	3208630	-	PRSS57	3206285	protein_coding
chr28	3209348	3224588	+	PALM	3209348	protein_coding
chr28	3226047	3232471	+	MISP	3226047	protein_coding
chr28	3234696	3252881	-	LOC110475734	3234696	protein_coding
chr28	3253115	3280607	+	PTBP1	3253115	protein_coding
chr28	3282892	3287504	-	PLPPR3	3282892	protein_coding
chr28	3289589	3291813	+	LOC110475732	3289589	protein_coding
chr28	3293125	3302383	-	MED16	3293125	
chr28	3302730	3302836	+	LOC116184540	3302730	snRNA
chr28	3302944	3309592	-	R3HDM4	3302944	protein_coding
chr28	3313068	3330804	+	ARID3A	3313068	
chr28	3332452	3340992	+	WDR18	3332452	
chr28	3342516	3348369	+	GRIN3B	3342516	protein_coding
chr28	3348820	3360969	-	TMEM259	3348820	protein_coding
chr28	3361301	3361407	+	LOC116184541	3361301	snRNA
chr28	3361687	3375619	-	ABCA7	3361687	protein_coding
chr28	3379858	3393382	+	CHERP	3379858	protein_coding
chr28	3393499	3399584	-	C28H19orf44	3393499	protein_coding
chr28	3402323	3448989	+	EPS15L1	3402323	protein_coding
chr28	3449001	3459059	-	KLF2	3449001	
chr28	3489698	3499086	-	AP1M1	3489698	protein_coding
chr28	3499289	3500819	-	FAM32A	3499289	protein_coding
chr28	3503710	3507323	+	CIB3	3503710	protein_coding
chr28	3507924	3516055	-	RAB8A	3507924	protein_coding
chr28	3516263	3525934	-	TPM4	3516263	protein_coding
chr28	3546749	3550071	+	LOC110475727	3546749	lncRNA
chr28	3786024	3943214	+	PTPRS	3786024	protein_coding
chr28	3954106	4031889	-	KDM4B	3954106	protein_coding
chr28	4034664	4046680	-	UHRF1	4034664	protein_coding
chr28	4048405	4061470	+	LOC110477879	4048405	protein_coding
chr28	4062785	4066760	+	TICAM1	4062785	protein_coding
chr28	4068881	4072802	-	FEM1A	4068881	protein_coding
chr28	4082568	4090845	-	LOC110477894	4082568	lncRNA
chr28	4104480	4104552	+	TRNAV-CAC	4104480	tRNA
chr28	4104904	4104975	-	TRNAG-UCC	4104904	tRNA
chr28	4105598	4125235	+	DPP9	4105598	protein_coding
chr28	4127123	4129584	+	LOC110477893	4127123	protein_coding
chr28	4130064	4133947	+	MYDGF	4130064	protein_coding
chr28	4135149	4143287	-	TNFAIP8L1	4135149	protein_coding
chr28	4174421	4194331	+	SEMA6B	4174421	
chr28	4195492	4200222	+	LOC110477877	4195492	protein_coding
chr28	4201239	4205495	+	LOC110477888	4201239	protein_coding
chr28	4205821	4216172	-	HDGFL2	4205821	
chr28	4219667	4225296	+	UBXN6	4219667	
chr28	4225751	4242216	-	CHAF1A	4225751	protein_coding
chr28	4261131	4268865	+	SH3GL1	4261131	protein_coding
chr28	4270755	4275586	-	MPND	4270755	protein_coding
chr28	4276129	4284451	+	STAP2	4276129	protein_coding
chr28	4285537	4287273	+	GADD45B	4285537	protein_coding
chr28	4290817	4339937	-	GNG7	4290817	
chr28	4340731	4343461	-	DIRAS1	4340731	protein_coding
chr28	4345144	4350877	-	SLC39A3	4345144	protein_coding
chr28	4351754	4373928	-	SGTA	4351754	
chr28	4374573	4383835	+	THOP1	4374573	
chr28	4385190	4388944	-	PLK5	4385190	protein_coding
chr28	4389582	4394462	+	LOC110483734	4389582	protein_coding
chr28	4398251	4401220	-	LOC110483731	4398251	protein_coding
chr28	4401601	4405621	+	LOC110480199	4401601	protein_coding
chr28	4409410	4416145	-	PCSK4	4409410	protein_coding
chr28	4416253	4422469	+	REEP6	4416253	protein_coding
chr28	4423244	4424542	+	C28H19orf25	4423244	protein_coding
chr28	4424751	4426619	+	LOC110480197	4424751	protein_coding
chr28	4428033	4443354	-	APC2	4428033	protein_coding
chr28	4445199	4446222	-	RPS15	4445199	protein_coding
chr28	4448867	4473575	-	DAZAP1	4448867	protein_coding
chr28	4474726	4477497	+	GAMT	4474726	protein_coding
chr28	4478012	4482877	-	NDUFS7	4478012	protein_coding
chr28	4483109	4483182	-	TRNAN-GUU	4483109	tRNA
chr28	4484081	4484153	+	TRNAF-GAA	4484081	tRNA
chr28	4484560	4494775	-	PWWP3A	4484560	protein_coding
chr28	4495715	4512809	-	LOC110480196	4495715	protein_coding
